code,title,definition,code_range,class_kind,inclusions,exclusions
812873082,"Schizophrenia, multiple episodes, in full remission","All definitional requirements for Schizophrenia, multiple episodes in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.",,category,,
804833492,Disorders due to use of synthetic cannabinoids,"Disorders due to use of synthetic cannabinoids are characterised by the pattern and consequences of synthetic cannabinoid use. Synthetic cannabinoids are synthesized diverse chemical compounds that are potent agonists for endogenous cannabinoid receptors. There are several hundred such compounds. The synthetic compound is typically sprayed onto a vehicle such as cannabis or tea leaves and then smoked. The effect of these compounds is distinctly different from smoking naturally cultivated cannabis in that the euphoric effects are typically accompanied or dominated by psychotic-like symptoms (e.g., paranoia, hallucinations, and disorganized behavior). Synthetic Cannabinoid Intoxication may therefore present more frequently with psychotic symptoms in addition to the more typical effects of cannabis. Synthetic cannabinoids are also dependence-producing and Synthetic Cannabinoid Dependence and Synthetic Cannabinoid Withdrawal are recognized. Synthetic Cannabinoid-Induced Mental Disorders also occur; in particular Synthetic Cannabinoid-Induced Psychotic Disorder is recognized.",,category,,Disorders due to use of cannabis
1856037350,"Multiple specified psychoactive substances withdrawal, with perceptual disturbances",,,category,,
563360873,Delirium induced by other specified psychoactive substance including medications,"Delirium induced by other specified psychoactive substance is characterised by an acute state of disturbed attention and awareness with specific features of delirium that develops during or soon after substance intoxication or withdrawal or during the use of a specified psychoactive substance. The amount and duration of use of the specified substance must be capable of producing delirium. The symptoms are not better explained by a primary mental disorder, by use of or withdrawal from a different substance, or by another health condition that is not classified under Mental, behavioural and neurodevelopmental disorders.",,category,,
771231188,Developmental learning disorder with impairment in mathematics,"Developmental learning disorder with impairment in mathematics is characterised by significant and persistent difficulties in learning academic skills related to mathematics or arithmetic, such as number sense, memorization of number facts, accurate calculation, fluent calculation, and accurate mathematic reasoning. The individual’s performance in mathematics or arithmetic is markedly below what would be expected for chronological or developmental age and level of intellectual functioning and results in significant impairment in the individual’s academic or occupational functioning. Developmental learning disorder with impairment in mathematics is not due to a disorder of intellectual development, sensory impairment (vision or hearing), a neurological disorder, lack of availability of education, lack of proficiency in the language of academic instruction, or psychosocial adversity.",,category,,Disorders of intellectual development
692993572,"Schizophrenia, first episode, currently symptomatic","All definitional requirements for Schizophrenia, first episode in terms of symptoms and duration are currently met, or have been met within the past one month.",,category,,
873755949,"Synthetic cathinone dependence, sustained partial remission","After a diagnosis of synthetic cathinone dependence, and often following a treatment episode or other intervention (including self-help intervention), there is a significant reduction in synthetic cathinone consumption for more than 12 months, such that even though synthetic cathinone use has occurred during this period, the definitional requirements for dependence have not been met.",,category,,Episode of harmful use of synthetic cathinones|Harmful pattern of use of synthetic cathinones
1605818663,Disorders due to use of synthetic cathinones,"Disorders due to use of synthetic cathinones are characterised by the pattern and consequences of synthetic cathinone use. Synthetic cathinones (also known as ‘bath salts’) are synthetic compounds with stimulant properties related to cathinone found in the khat plant, Catha edulis. The use of synthetic cathinones is common in young populations in many countries. They may produce a range of disorders including Synthetic Cathinone Intoxication, Synthetic Cathinone Dependence and Synthetic Cathinone Withdrawal. Several synthetic cathinone-induced mental disorders are recognised.",,category,,
130379446,Maladaptive health behaviours affecting disorders or diseases classified elsewhere,"All diagnostic requirements for Psychological or behavioural factors affecting disorders or diseases classified elsewhere are met. The individual exhibits maladaptive health behaviours that adversely affect the manifestation, treatment, or course of a disorder or disease classified in another chapter (e.g., overeating, lack of exercise).",,category,,
1582257458,Other paraphilic disorder involving non-consenting individuals,"Other paraphilic disorder involving non-consenting individuals is characterised by a persistent and intense pattern of atypical sexual arousal — manifested by sexual thoughts, fantasies, urges, or behaviours — in which the focus of the arousal pattern involves others who are unwilling or unable to consent but that is not specifically described in any of the other named Paraphilic Disorders categories (e.g., arousal patterns involving corpses or animals). The individual must have acted on these thoughts, fantasies or urges or be markedly distressed by them. The disorder specifically excludes sexual behaviours that occur with the consent of the person or persons involved, provided that they are considered able to provide such consent.",,category,,
912062138,"Stimulant dependence including amphetamines, methamphetamine or methcathinone, sustained full remission","After a diagnosis of Stimulant dependence including amphetamines, methamphetamine and methcathinone but excluding caffeine, cocaine and synthetic cathinones, and often following a treatment episode or other intervention (including self-intervention), the person has been abstinent from amphetamine or other stimulants for 12 months or longer.",,category,,"Episode of harmful use of stimulants including amphetamines, methamphetamine or methcathinone|Harmful pattern of use of stimulants including amphetamines, methamphetamine or methcathinone"
1749085654,"Unknown or unspecified psychoactive substance dependence, sustained full remission","After a diagnosis of Unknown or unspecified psychoactive substance dependence, sustained full remission, and often following a treatment episode or other intervention (including self-intervention), the person has been abstinent from the substance for 12 months or longer.",,category,,Episode of harmful use of unknown or unspecified psychoactive substances|Harmful pattern of use of unknown or unspecified psychoactive substance
272358857,Episode of harmful use of unknown or unspecified psychoactive substances,"An episode of use of an unknown or unspecified psychoactive substance that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication or withdrawal; (2) direct or secondary toxic effects on body organs and systems; or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour due to substance intoxication or withdrawal on the part of the person to whom the diagnosis of single episode of harmful use applies. This diagnosis should not be made if the harm is attributed to a known pattern of use of the unknown or unspecified psychoactive substance.",,category,,Harmful pattern of use of unknown or unspecified psychoactive substance|Unknown or unspecified psychoactive substance dependence
1620688958,"Dissociative neurological symptom disorder, with non-epileptic seizures","Dissociative neurological symptom disorder, with non-epileptic seizures is characterised by a symptomatic presentation of seizures or convulsions that are not consistent with a recognised disease of the nervous system, other mental, behavioural or neurodevelopmental disorder, or other medical condition and do not occur exclusively during another dissociative disorder.",,category,,
1730029381,"Schizoaffective disorder, multiple episodes","Schizoaffective disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for Schizoaffective disorder and who have also previously experienced episodes during which diagnostic requirements for Schizoaffective disorder or Schizophrenia were met, with substantial remission of symptoms between episodes. Some attenuated symptoms may remain during period of remission, and remissions may have occurred in response to medication or other treatment.",,category,,
567063364,Rapid cycling,"In the context of bipolar type I or bipolar type II disorder, there has been a high frequency of mood episodes (at least four) over the past 12 months. There may be a switch from one polarity of mood to the other, or the mood episodes may be demarcated by a period of remission. In individuals with a high frequency of mood episodes, some may have a shorter duration than those usually observed in bipolar type I or bipolar type II disorder. In particular, depressive periods may only last several days. If depressive and manic symptoms alternate very rapidly (i.e., from day to day or within the same day), a mixed episode should be diagnosed rather than rapid cycling.",,category,,
1207960454,"Disorder of intellectual development, mild","A mild disorder of intellectual development is a condition originating during the developmental period characterised by significantly below average intellectual functioning and adaptive behaviour that are approximately two to three standard deviations below the mean (approximately 0.1 – 2.3 percentile), based on appropriately normed, individually administered standardized tests or by comparable behavioural indicators when standardized testing is unavailable. Affected persons often exhibit difficulties in the acquisition and comprehension of complex language concepts and academic skills. Most master basic self-care, domestic, and practical activities. Persons affected by a mild disorder of intellectual development can generally achieve relatively independent living and employment as adults but may require appropriate support.",,category,,
882114523,"Mental or behavioural disorders associated with pregnancy, childbirth or the puerperium","Syndromes associated with pregnancy or the puerperium (commencing within about 6 weeks after delivery) that involve significant mental and behavioural features. If the symptoms meet the diagnostic requirements for a specific mental disorder, that diagnosis should also be assigned.",6E20-6E2Z,block,,
1899175158,"Secondary mood syndrome, with mixed symptoms","A syndrome characterised by the presence of both manic and depressive symptoms, either occurring together or alternating from day to day or over the course of a day that is judged to be a direct pathophysiological consequence of a health condition not classified under mental and behavioural disorders based on evidence from the history, physical examination, or laboratory findings. Manic symptoms may include elevated, euphoric, irritable, or expansive mood states, rapid changes among different mood states (i.e., mood lability), or increased energy or activity. Depressive symptoms may include persistently depressed mood, loss of interest in previously enjoyable activities, or signs such as tearful or downtrodden appearance. The symptoms are not accounted for by delirium or by another mental and behavioural disorder, and are not a psychologically mediated response to a severe medical condition (e.g., depressive symptoms in response to a life-threatening diagnosis). This category should be used in addition to the diagnosis for the presumed underlying disorder or disease when the mood symptoms are sufficiently severe to warrant specific clinical attention.",,category,,Adjustment disorder|Delirium
912934263,Episode of harmful use of synthetic cannabinoids,"An episode of use of a synthetic cannabinoid that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication; (2) direct or secondary toxic effects on body organs and systems; or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour due to synthetic cannabinoid intoxication on the part of the person to whom the diagnosis of single episode of harmful use applies. This diagnosis should not be made if the harm is attributed to a known pattern of synthetic cannabinoid use.",,category,,Harmful pattern of use of synthetic cannabinoids|Synthetic cannabinoid dependence
1995290731,Cocaine-induced impulse control disorder,"Cocaine-induced impulse control disorder is characterised by persistently repeated behaviours in which there is recurrent failure to resist an impulse, drive, or urge to perform an act that is rewarding to the person, at least in the short-term, despite longer-term harm either to the individual or to others (e.g., fire setting or stealing without apparent motive, repetitive sexual behaviour, aggressive outbursts) that develop during or soon after intoxication with or withdrawal from cocaine. The intensity or duration of the symptoms is substantially in excess of disturbances of impulse control that are characteristic of Cocaine intoxication or Cocaine withdrawal. The amount and duration of cocaine use must be capable of producing disturbances of impulse control. The symptoms are not better explained by a primary mental disorder (e.g., an Impulse control disorder, a Disorder due to addictive behaviours), as might be the case if the impulse control disturbances preceded the onset of the cocaine use, if the symptoms persist for a substantial period of time after cessation of the cocaine use or withdrawal, or if there is other evidence of a pre-existing primary mental disorder with impulse control symptoms (e.g., a history of prior episodes not associated with cocaine use).",,category,,
392011264,"Other specified psychoactive substance dependence, current use","Current Other specified psychoactive substance dependence, with use of the specified psychoactive substance within the past month.",,category,,Episode of harmful use of other specified psychoactive substance|Harmful pattern of use of other specified psychoactive substance
1600451095,Harmful pattern of use of volatile inhalants,"A pattern of volatile inhalant use that has caused damage to a person’s physical or mental health. The pattern of volatile inhalant use is evident over a period of at least 12 months if substance use is episodic or at least one month if use is continuous (i.e., daily or almost daily). Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication; (1) direct or secondary toxic effects on body organs and systems; or (2) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour related to volatile inhalant intoxication on the part of the person to whom the diagnosis of Harmful pattern of use of volatile inhalants applies.",,category,,Volatile inhalant dependence|Episode of harmful use of volatile inhalants
1242188600,Avoidant-restrictive food intake disorder,"Avoidant-restrictive food intake disorder (ARFID) is characterised by avoidance or restriction of food intake that results in: 1) the intake of an insufficient quantity or variety of food to meet adequate energy or nutritional requirements that has resulted in significant weight loss, clinically significant nutritional deficiencies, dependence on oral nutritional supplements or tube feeding, or has otherwise negatively affected the physical health of the individual; or 2) significant impairment in personal, family, social, educational, occupational or other important areas of functioning (e.g., due to avoidance or distress related to participating in social experiences involving eating). The pattern of eating behaviour is not motivated by preoccupation with body weight or shape. Restricted food intake and its effects on weight, other aspects of health, or functioning are not due to unavailability of food, not a manifestation of another medical condition (e.g. food allergies, hyperthyroidism) or mental disorder, and are not due to the effect of a substance or medication on the central nervous system including withdrawal effects.",,category,,Anorexia Nervosa|Feeding problem of infant|Feeding problems of newborn
1777436789,Dementia due to Lewy body disease,"Dementia preceding or occurring within one year after the onset of motor parkinsonian signs in the setting of Lewy body disease. Characterized by presence of Lewy bodies, which are intraneuronal inclusions containing α-synuclein and ubiquitin in the brain stem, limbic area, forebrain, and neocortex. Onset is insidious with attentional and executive functioning deficits often present. These cognitive deficits are often accompanied by visual hallucinations and symptoms of REM sleep behaviour disorder. Hallucinations in other sensory modalities, depressive symptoms, and delusions may also be present. The symptom presentation usually varies significantly over the course of days necessitating longitudinal assessment and differentiation from delirium. Spontaneous onset of Parkinsonism within approximately 1 year of the onset of cognitive symptoms is common.",,category,,
1775535234,"Stimulant intoxication including amphetamines, methamphetamine or methcathinone","Stimulant intoxication including amphetamines, methamphetamine and methcathinone but excluding caffeine, cocaine and synthetic cathinones is a clinically significant transient condition that develops during or shortly after the consumption of amphetamine or other stimulants that is characterised by disturbances in consciousness, cognition, perception, affect, behaviour, or coordination. These disturbances are caused by the known pharmacological effects of amphetamine or other stimulants and their intensity is closely related to the amount of amphetamine or other stimulant consumed. They are time-limited and abate as amphetamine or another stimulant is cleared from the body. Presenting features may include anxiety, anger, impaired attention, hypervigilance, psychomotor agitation, paranoid ideation (possibly of delusional intensity), transient auditory hallucinations, transitory confusion, and changes in sociability. Perspiration or chills, nausea or vomiting, and palpitations may be experienced. Physical signs may include tachycardia, elevated blood pressure, pupillary dilatation, dyskinesias and dystonias, and skin sores. In rare instances, usually in severe intoxication, use of stimulants including amphetamines, methamphetamine and methcathinone can result in seizures.",,category,,amphetamine poisoning|Caffeine intoxication|Cocaine intoxication|Synthetic cathinone intoxication|Possession trance disorder
810797047,Dysthymic disorder,"Dysthymic disorder is characterised by a persistent depressive mood (i.e., lasting 2 years or more), for most of the day, for more days than not. In children and adolescents depressed mood can manifest as pervasive irritability. The depressed mood is accompanied by additional symptoms such as markedly diminished interest or pleasure in activities, reduced concentration and attention or indecisiveness, low self-worth or excessive or inappropriate guilt, hopelessness about the future, disturbed sleep or increased sleep, diminished or increased appetite, or low energy or fatigue. During the first 2 years of the disorder, there has never been a 2-week period during which the number and duration of symptoms were sufficient to meet the diagnostic requirements for a Depressive Episode. There is no history of Manic, Mixed, or Hypomanic Episodes.",,category,Dysthymia,anxiety depression (mild or not persistent)
1254806731,"Schizophrenia, continuous, currently symptomatic","All definitional requirements for Schizophrenia, continuous in terms of symptoms and duration are currently met, or have been met within the past one month.",,category,,
830200631,Separation anxiety disorder,"Separation anxiety disorder is characterised by marked and excessive fear or anxiety about separation from specific attachment figures. In children and adolescents, separation anxiety typically focuses on caregivers, parents or other family members and the fear or anxiety is beyond what would be considered developmentally normative. In adults, the focus is typically a romantic partner or children. Manifestations of separation anxiety may include thoughts of harm or untoward events befalling the attachment figure, reluctance to go to school or work, recurrent excessive distress upon separation, reluctance or refusal to sleep away from the attachment figure, and recurrent nightmares about separation. The symptoms persist for at least several months and are sufficiently severe to result in significant distress or significant impairment in personal, family, social, educational, occupational, or other important areas of functioning.",,category,,mood [affective] disorders|Selective mutism|Social anxiety disorder
858129053,Secondary speech or language syndrome,"A syndrome that involves significant features related to speech or language development that do not fulfill the diagnostic requirements of any of the specific developmental speech or language disorders that is judged to be a direct pathophysiological consequence of a health condition not classified under mental and behavioural disorders, based on evidence from the history, physical examination, or laboratory findings. Possible etiologies include a disease of the nervous system, sensory impairment, brain injury or infection.",,category,,
487973986,"Multiple specified psychoactive substances dependence, early full remission",,,category,,Episode of harmful use of multiple specified psychoactive substances|Harmful pattern of use of multiple specified psychoactive substances
541725793,Encopresis without constipation or overflow incontinence,"Encopresis is the repeated passage of faeces in inappropriate places occurring repeatedly (e.g., at least once per month over a period of several months) in an individual who has reached the developmental age when faecal continence is ordinarily expected (4 years). The faecal incontinence may have been present from birth (i.e., an atypical extension of normal infantile incontinence), or may have arisen following a period of acquired bowel control. Encopresis without constipation and overflow is not associated with retention and impaction of faeces, but rather reflects reluctance, resistance or failure to conform to social norms in defecating in acceptable places in the context of normal physiological control over defecation. Stools are typically of normal consistency and inappropriate defecation is likely to be intermittent.",,category,,
1074941350,"Disorder of intellectual development, provisional","Disorder of intellectual development, provisional is assigned when there is evidence of a disorder of intellectual development but the individual is an infant or child under the age of four or it is not possible to conduct a valid assessment of intellectual functioning and adaptive behaviour because of sensory or physical impairments (e.g., blindness, pre-lingual deafness), motor or communication impairments, severe problem behaviours or co-occurring mental and behavioural disorders.",,category,,
1065937748,"Sedative, hypnotic or anxiolytic withdrawal, with perceptual disturbances","All diagnostic requirements for Sedative, hypnotic or anxiolytic withdrawal are met and the withdrawal state is accompanied by perceptual disturbances (e.g., visual or tactile hallucinations or illusions) with intact reality testing. There is no evidence of confusion and other diagnostic requirements for Delirium are not met. The withdrawal state is not accompanied by seizures.",,category,,
538219245,Certain multiple specified psychoactive substances-induced mental or behavioural disorders,,,category,,
520107262,"Bipolar type II disorder, currently in partial remission, most recent episode hypomanic","Bipolar type II disorder, currently in partial remission, most recent episode hypomanic is diagnosed when the definitional requirements for Bipolar type II disorder have been met and the most recent episode was a hypomanic episode. The full definitional requirements for a hypomanic episode are no longer met but some significant mood symptoms remain. In some cases, residual mood symptoms may be depressive rather than hypomanic, but do not satisfy the definitional requirements for a depressive episode.",,category,,
254139238,Substance-induced obsessive-compulsive or related disorders,,,window,,
468697510,"Schizoaffective disorder, multiple episodes, in partial remission","All definitional requirements for Schizoaffective disorder, multiple episodes in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.",,category,,
1317171068,Volatile inhalant withdrawal,"Volatile inhalant withdrawal is a clinically significant cluster of symptoms, behaviours and/or physiological features, varying in degree of severity and duration, that occurs upon cessation or reduction of use of volatile inhalants in individuals who have developed Volatile inhalant dependence or have used volatile inhalants for a prolonged period or in large amounts. Presenting features of Volatile inhalant withdrawal may include insomnia, anxiety, irritability, dysphoric mood, shakiness, perspiration, nausea, and transient illusions.",,category,,
1196205490,"Conduct-dissocial disorder, childhood onset with typical prosocial emotions","All definitional requirements for conduct-dissocial disorder, childhood onset are met. The individual does not exhibit characteristics referred to as ‘callous and unemotional’, such as lack of empathy or sensitivity to the feelings of others and a lack of concern for others’ distress.",,category,,
187348663,"Recurrent depressive disorder, current episode moderate, without psychotic symptoms","Recurrent depressive disorder, current episode moderate, without psychotic symptoms is diagnosed when the definitional requirements for recurrent depressive disorder have been met and there is currently a depressive episode of moderate severity, and there are no delusions or hallucinations during the episode. A depressive episode is characterised by a period of depressed mood or diminished interest in activities occurring most of the day, nearly every day during a period lasting at least two weeks accompanied by other symptoms such as difficulty concentrating, feelings of worthlessness or excessive or inappropriate guilt, hopelessness, recurrent thoughts of death or suicide, changes in appetite or sleep, psychomotor agitation or retardation, and reduced energy or fatigue. In a moderate depressive episode, several symptoms of a depressive episode are present to a marked degree, or a large number of depressive symptoms of lesser severity are present overall. The individual typically has considerable difficulty functioning in multiple domains (personal, family, social, educational, occupational, or other important domains).",,category,,
794195577,Disorders of bodily distress or bodily experience,"Disorders of bodily distress and bodily experience are characterised by disturbances in the person’s experience of his or her body. Bodily distress disorder involves bodily symptoms that the individual finds distressing and to which excessive attention is directed. Body integrity dysphoria involves a disturbance in the person’s experience of the body manifested by the persistent desire to have a specific physical disability accompanied by persistent discomfort, or intense feelings of inappropriateness concerning current non-disabled body configuration.",6C20-6C2Z,block,,Dissociative neurological symptom disorder|Concern about body appearance
136511187,"Disorders due to use of other specified psychoactive substances, including medications","Disorders due to use of other specified psychoactive substances, including medications are characterised by the pattern and consequences of psychoactive substances that are not included among the major substance classes specifically identified. Examples include khat, antidepressants, medications with anticholinergic properties (e.g., benztropine), and some antihistamines.",,category,,
1468768235,Dementia due to diseases classified elsewhere,,,category,,
998231424,Alcohol withdrawal,"Alcohol withdrawal is a clinically significant cluster of symptoms, behaviours and/or physiological features, varying in degree of severity and duration, that occurs upon cessation or reduction of use of alcohol in individuals who have developed Alcohol dependence or have used alcohol for a prolonged period or in large amounts. Presenting features of Alcohol withdrawal may include autonomic hyperactivity (e.g. tachycardia, hypertension, perspiration), increased hand tremor, nausea, retching or vomiting, insomnia, anxiety, psychomotor agitation, depressed or dysphoric mood, transient visual, tactile or auditory illusions or hallucinations, and distractability. Less commonly, the withdrawal state is complicated by generalised tonic-clonic seizures. The withdrawal state may progress to a very severe form of delirium characterised by confusion and disorientation, delusions, and prolonged visual, tactile or auditory hallucinations. In such cases, a separate diagnosis of Alcohol-induced delirium should also be assigned.",,category,,
854708918,Developmental language disorder with impairment of mainly pragmatic language,"Developmental language disorder with impairment of mainly pragmatic language is characterised by persistent and marked difficulties with the understanding and use of language in social contexts, for example making inferences, understanding verbal humour, and resolving ambiguous meaning. These difficulties arise during the developmental period, typically during early childhood, and cause significant limitations in the individual’s ability to communicate. Pragmatic language abilities are markedly below the expected level given the individual’s age and level of intellectual functioning, but the other components of receptive and expressive language are relatively intact. This qualifier should not be used if the pragmatic language impairment is better explained by Autism Spectrum Disorder or by impairments in other components of receptive or expressive language.",,category,,Diseases of the nervous system|Selective mutism
2133003467,Substance-induced mood disorders,,,window,,
1265787402,Certain specified hallucinogen-induced mental or behavioural disorders,,,category,,
1447134117,Mood symptoms in dementia,"In addition to the cognitive disturbances characteristic of dementia, the current clinical picture includes clinically significant mood symptoms such as depressed mood, elevated mood, or irritable mood.",,category,,Mood disorders|Secondary mood syndrome
1015017717,Delirium due to disease classified elsewhere,"All definitional requirements for delirium are met. There is evidence from history, physical examination, or laboratory findings that Delirium is caused by the direct physiological consequences of a disorder or disease classified elsewhere.",,category,,
1699574100,Nicotine dependence,"Nicotine dependence is a disorder of regulation of nicotine use arising from repeated or continuous use of nicotine. The characteristic feature is a strong internal drive to use nicotine, which is manifested by impaired ability to control use, increasing priority given to use over other activities and persistence of use despite harm or negative consequences. These experiences are often accompanied by a subjective sensation of urge or craving to use nicotine. Physiological features of dependence may also be present, including tolerance to the effects of nicotine, withdrawal symptoms following cessation or reduction in use of nicotine, or repeated use of nicotine or pharmacologically similar substances to prevent or alleviate withdrawal symptoms. The features of dependence are usually evident over a period of at least 12 months but the diagnosis may be made if nicotine use is continuous (daily or almost daily) for at least 3 months.",,category,,Episode of harmful use of nicotine|Harmful pattern of use of nicotine
2648920,"Synthetic cannabinoid dependence, early full remission","After a diagnosis of synthetic cannabinoid dependence, and often following a treatment episode or other intervention (including self-help intervention), the individual has been abstinent from synthetic cannabinoid use during a period lasting between 1 and 12 months.",,category,,Episode of harmful use of synthetic cannabinoids|Harmful pattern of use of synthetic cannabinoids
1583329300,Multiple specified psychoactive substances withdrawal,"Multiple specified psychoactive substance withdrawal is a clinically significant cluster of symptoms, behaviours and physiological features, varying in degree of severity and duration, that occurs upon cessation or reduction of use of multiple specified substances in individuals who have developed dependence or have used the specified substances for a prolonged period or in large amounts. Multiple specified psychoactive substance withdrawal can also occur when prescribed psychoactive medications have been used in standard therapeutic doses. The specific features of the withdrawal state depend on the pharmacological properties of the specified substances and their interactions.",,category,,
556568822,Catatonia associated with another mental disorder,"Catatonia associated with another mental disorder is a syndrome of primarily psychomotor disturbances, characterized by the co-occurrence of several symptoms of decreased, increased, or abnormal psychomotor activity, which occurs in the context of another mental disorder, such as Schizophrenia or Other Primary Psychotic Disorders, Mood Disorders, and Neurodevelopmental Disorders, especially Autism Spectrum Disorder.",,category,,
496273089,Symptomatic and course presentations for mood episodes in mood disorders,"These categories may be applied to describe the presentation and characteristics of mood episodes in the context of single episode depressive disorder, recurrent depressive disorder, bipolar type I disorder, or bipolar type II disorder. These categories indicate the presence of specific, important features of the clinical presentation or of the course, onset, and pattern of mood episodes. These categories are not mutually exclusive, and as many may be added as apply.",,category,,
508603587,Synthetic cannabinoid intoxication,"Synthetic cannabinoid intoxication is a clinically significant transient condition that develops during or shortly after the consumption of synthetic cannabinoids that is characterised by disturbances in consciousness, cognition, perception, affect, behaviour, or coordination. These disturbances are caused by the known pharmacological effects of synthetic cannabinoids and their intensity is closely related to the amount of synthetic cannabinoid consumed. They are time-limited and abate as synthetic cannabinoid is cleared from the body. Presenting features may include inappropriate euphoria, impaired attention, impaired judgment, perceptual alterations (such as the sensation of floating, altered perception of time), changes in sociability, increased appetite, anxiety, intensification of ordinary experiences, impaired short-term memory, and sluggishness. Physical signs include conjunctival injection (red or bloodshot eyes) and tachycardia. Intoxication with synthetic cannabinoids may also cause delirium or acute psychosis.",,category,,
707980387,"Other specified psychoactive substance withdrawal, with perceptual disturbances and seizures",The development of a withdrawal state accompanied by both perceptual disturbances and seizures following cessation or reduction of use of the specified substance.,,category,,
467941148,Disinhibited social engagement disorder,"Disinhibited social engagement disorder is characterised by grossly abnormal social behaviour, occurring in the context of a history of grossly inadequate child care (e.g., severe neglect, institutional deprivation). The child approaches adults indiscriminately, lacks reticence to approach, will go away with unfamiliar adults, and exhibits overly familiar behaviour towards strangers. Disinhibited social engagement disorder can only be diagnosed in children, and features of the disorder develop within the first 5 years of life. However, the disorder cannot be diagnosed before the age of 1 year (or a developmental age of less than 9 months), when the capacity for selective attachments may not be fully developed, or in the context of Autism spectrum disorder.",,category,,Asperger syndrome|Adjustment disorder|Attention deficit hyperactivity disorder|reactive attachment disorder of childhood
2021041320,"Bipolar type II disorder, currently in partial remission, most recent episode unspecified","Bipolar type II disorder, currently in partial remission, most recent episode unspecified is diagnosed when the definitional requirements for Bipolar type II disorder have been met but there is insufficient information to determine the nature of the most recent mood episode. The full definitional requirements for a mood episode are no longer met but some significant mood symptoms remain.",,category,,
992393585,"Harmful pattern of use of non-psychoactive substances, episodic","A pattern of episodic or intermittent use of a non-psychoactive substance that has caused damage to a person’s physical or mental health. The pattern of episodic or intermittent use of the non-psychoactive substance is evident over a period of at least 12 months. Harm may be caused by the direct or secondary toxic effects on body organs and systems, or a harmful route of administration.",,category,,
1252561403,Harmful pattern of use of caffeine,"A pattern of caffeine use that has caused clinically significant harm to a person’s physical or mental health or in which caffeine-induced behaviour has caused clinically significant harm to the health of other people. The pattern of caffeine use is evident over a period of at least 12 months if use is episodic and at least one month if use is continuous (i.e., daily or almost daily). Harm may be caused by the intoxicating effects of caffeine, the direct or secondary toxic effects on body organs and systems, or a harmful route of administration.",,category,,Episode of harmful use of caffeine
104129373,"Single episode depressive disorder, severe, with psychotic symptoms","Single episode depressive disorder, severe, with psychotic symptoms is diagnosed when the definitional requirements for Single episode depressive disorder are met and the current episode is severe and there are delusions or hallucinations during the episode. A depressive episode is characterised by a period of depressed mood or diminished interest in activities occurring most of the day, nearly every day during a period lasting at least two weeks accompanied by other symptoms such as difficulty concentrating, feelings of worthlessness or excessive or inappropriate guilt, hopelessness, recurrent thoughts of death or suicide, changes in appetite or sleep, psychomotor agitation or retardation, and reduced energy or fatigue. In a severe depressive episode, many or most symptoms of a Depressive Episode are present to a marked degree, or a smaller number of symptoms are present and manifest to an intense degree. The individual has serious difficulty continuing to function in most domains (personal, family, social, educational, occupational, or other important domains). In a severe depressive episode, many or most symptoms of a Depressive Episode are present to a marked degree, or a smaller number of symptoms are present and manifest to an intense degree. The individual has serious difficulty continuing to function in most domains (personal, family, social, educational, occupational, or other important domains).",,category,,
1218193465,"Disorders due to use of MDMA or related drugs, including MDA","Disorders due to use of MDMA or related drugs, including MDA are characterised by the pattern and consequences of MDMA or related drug use. MDMA is methylene-dioxymethamphetamine and is a common drug of abuse in many countries especially among young people. It is predominantly available in tablet form known as ‘ecstasy’. Pharmacologically, MDMA has stimulant and empathogenic properties and these encourage its use among young people for social and other interactions. Considering its wide prevalence in many countries and among many sub-groups of young people, MDMA and Related Drug Dependence and MDMA and Related Drug Withdrawal are comparatively uncommon. Substance-Induced Mental Disorders may arise from its use. Several analogues of MDMA exist, including MDA (methylene-dioxyamphetamine).",,category,,Hazardous use of MDMA or related drugs
